analyte_id,analyte_name,analyte_abbrev,analyte_code,analyte_method_code,analyte_type,analyte_format,agg_method,uom_abbrev,adod_dependency,calc_script_path,calc_desc,calc_note,analyte_desc,analyte_note
368,"Bromide, Saturation Extract",br_satx,Br_sx,Br,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_br.txt",to be added,,The bromide anion in the saturation extract.,
369,"Calcium, Saturation Extract",ca_satx,Ca_sx,Ca,F,5.1,mean,mmol(+)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_ca.txt",To Be Added,,"Calcium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
370,"Carbonate, Saturation Extract",co3_satx,CO3_sx,CO3,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_co3.txt",To Be Added,,"Carbonate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
371,"Chloride, Saturation Extract",cl_satx,Cl_sx,Cl,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_cl.txt",To Be Added,,"Chloride in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
372,"Electrical Conductivity, Saturation Extract",ec_satp,EC_sx,EC,F,5.2,mean,dS/m,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_ec.txt","EC = A 10^B ( 0.8696 - 0.01951 C + 0.000186 C^2 ) 2 D / ( 141.12 / ( E 10^F ( 0.8696 - 0.01951 G + 0.000186 G^2 ) 2 D )

Where:
 A = Saturation Extract EC Reading (mmhos)
 B = Instrument Scale Setting
 C = Saturation Extract Temperature (C)
 D",,"The electrical conductivity of the saturation extract is used to estimate the concentration of salts in a sample, and provides inferences on cation concentration in solution and osmotic pressure. It is reported as mmhos per centimeter.",
373,"Fluoride, Saturation Extract",fl_satx,F_sx,F,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_f.txt",To Be Added,,"Fluoride in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
374,"Magnesium, Saturation Extract",mg_satx,Mg_sx,Mg,F,5.1,mean,mmol(+)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_mg.txt",To Be Added,,"Magnesium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
375,"Nitrate, Saturation Extract",no3_satx,NO3_sx,NO3,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_no3.txt",To Be Added,,"Nitrate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
376,"Nitrite, Saturation Extract",no2_satx,NO2_sx,NO2,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_no2.txt",To Be Added,,"Nitrite in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
378,"Phosphate, Saturation Extract",p_satx,P_sx,PO4,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_po4.txt",To Be Added,,"PO4 in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
379,"Potassium, Saturation Extract",k_satx,K_sx,K,F,5.1,mean,mmol(+)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_k.txt",To Be Added,,"Potassium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
380,"Resistivity, Saturated Paste",resist,Resist,Resist,I,7,mean,ohms/cm,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_paste,_resistivity.txt",To Be Added,,"Resistivity is the electrical resistance of a saturated soil paste in a standard resistance cup, reported as ohms per centimeter on the <2 mm fraction. It is a measure of the amount of soluble salts in the sample.",
381,"Sodium, Saturation Extract",na_satx,Na_sx,Na,F,5.1,mean,mmol(+)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_na.txt",To Be Added,,"Sodium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
382,"Sulfate, Saturation Extract",so4_satx,SO4_sx,SO4,F,5.1,mean,mmol(-)/L,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_extract,_so4.txt",To Be Added,,"Sulfate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.",
383,"Water Content, Saturated Paste",h2osatx,SP_sp,H2Osx,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Salt\sat_paste,_sat_percent.txt",To Be Added,,Water content of the saturation paste is the gravimetric percent water in a sample prior to collection of the saturation extract.,
384,"Sulfur, Total",s_tot,S_tot,S,F,4.2,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Elemental\total_sulfur.txt,To Be Added,,"Total sulfur is the sum of organic and inorganic forms, reported as a gravimetric percent on a <2 mm base.",
385,"Surface Area, Ethylene Glycol Monoethyl Ether",sa_egme,EGME,SAegme,F,6.1,mean,mg/g,0,obsolete,To Be Added,Obsolete procedure?,The EGME surface area is an indicator of the sample surface available to adsorb a weakly polar liquid (ethylene glycol monoethyl ether). It is reported as grams EGME per gram of sample.,
386,"Gypsum, tga",min_GY_tga,GY_tga,minGY,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\tga,_gypsum_percent.txt",to be added,,to be added,
387,"Gibbsite, tga",min_GI_tga,GI_tga,minGI,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\tga,_gibbsite_percent.txt",To Be Added,,to be added,
388,"Goethite, tga",min_GE_tga,GE_tga,minGE,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\tga,_goethite_percent.txt",To Be Added,,To Be Added,
389,"Kaolinite, tga",min_KK_tga,KK_tga,minKK,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\tga,_kaolinite_percent.txt",To Be Added,,to be added,
391,"Aluminum, Total",al_tot,Al_tot,Al,F,6,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_aluminum.txt",To Be Added,,Total Al is the aluminum measured after total dissolution of a size fraction of soil material. It is stored as percent of the element and reported as percent oxide on the base of the size fraction used.,
392,"Arsenic, Total",as_tot,As_tot,As,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_arsenic.txt",To Be Added,,Total As is the arsenic measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
393,"Boron, Total",b_tot,B_tot,B,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_boron.txt",To Be Added,,Total boron is the amount measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
394,"Cadmium, Total",cd_tot,Cd_tot,Cd,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_cad,ium.txt",To Be Added,,Total Cd is the cadmium measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
395,"Calcium, Total",ca_tot,Ca_tot,Ca,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_calcium.txt",To Be Added,,Total Ca is the calcium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
396,"Chromium, Total",cr_tot,Cr_tot,Cr,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_chromium.txt",To Be Added,,Total Cr is the chromium measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
397,"Cobalt, Total",co_tot,Co_tot,Co,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_cobalt.txt",To Be Added,,Total Co is the cobalt measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
398,"Copper, Total",cu_tot,Cu_tot,Cu,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_copper.txt",To Be Added,,Total Cu is the copper measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
399,"Iron, Total",fe_tot,Fe_tot,Fe,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_iron.txt",To Be Added,,Total Fe is the iron measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as per cent oxide on the base of the size fraction used.,
400,"Lead, Total",pb_tot,Pb_tot,Pb,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_lead.txt",To Be Added,,Total Pb is the lead measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
401,"Magnesium, Total",mg_tot,Mg_tot,Mg,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_magnesium.txt",To Be Added,,Total Mg is the magnesium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported a s percent oxide on the base of the size fraction used.,
402,"Manganese, Total",mn_tot,Mn_tot,Mn,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_manganese.txt",To Be Added,,Total Mn is the manganese measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported a s percent oxide on the base of the size fraction used.,
403,"Mercury, Total",hg_tot,Hg_tot,Hg,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_mercury.txt",To Be Added,,Total Hg is the mercury measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
404,"Nickel, Total",ni_tot,Ni_tot,Ni,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_nickel.txt",To Be Added,,Total Ni is the nickel measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
405,"Phosphorus, Total",p_tot,P_tot,P,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_phosphorus.txt",To Be Added,,Total P is the phosphorus measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
406,"Potassium, Total",k_tot,K_tot,K,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_potassium.txt",To Be Added,,Total K is the potassium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
407,"Selenium, Total",se_tot,Se_tot,Se,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_selenium.txt",To Be Added,,Total Se is the selenium measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
408,"Silicon, Total",si_tot,Si_tot,Si,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_silicon.txt",To Be Added,,Total Si is the silica measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
409,"Sodium, Total",na_tot,Na_tot,Na,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_sodium.txt",To Be Added,,Total Na is the sodium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
410,"Titanium, Total",ti_tot,Ti_tot,Ti,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_titanium.txt",To Be Added,,Total Ti is the titanium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported as percent oxide on the base of the size fraction used.,
418,"Water Retention, 2 Bar, <2mm Sieve, Air-dry",w2bl2,W2BL2,W2bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,"2 bar water, <2mm sieved, airdry is the gravimetric percent water in <2 mm airdry sieved samples after equilibration at 2 bars water tension. It is reported on a <2 mm base.",
420,"Ratio, Air-dry/Ovendry",adod,ADOD,ADOD,F,4.3,mean,(NA),0,\\aioneli93ap1\CalcScripts\Sample_Analytes\sample_Prep\Adod\adod.txt,To Be Added,,"Airdry/ovendry H2O ratio is the ratio of air dry gravimetric percent water over oven dry (105 degrees C) gravimetric percent water. If gypsum is present, this ratio is corrected for crystal water in the gypsum.",
423,"Amphibole, x-ray",min_AM_x-ray,AMxray,minAM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_amphibole_peak_class.txt",to be added,,to be added,
424,"Analcime, x-ray",min_LC_x-ray,LCxray,minLC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_analcime_peak_class.txt",to be added,,to be added,
425,"Anatase, x-ray",min_AE_x-ray,AExray,minAE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_anatase_peak_class.txt",to be added,,to be added,
426,"Antigorite, x-ray",min_AG_x-ray,AGxray,minAG,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_antigorite_peak_class.txt",to be added,,to be added,
427,"Aragonite, x-ray",min_AO_x-ray,AOxray,minAO,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_aragonite_peak_class.txt",to be added,,to be added,
428,"Biotite, x-ray",min_BT_x-ray,BTxray,minBT,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_biotite_peak_class.txt",to be added,,to be added,
429,"Biotite-Chlorite, x-ray",min_BC_x-ray,BCxray,minBC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_biotite-chlorite_peak_class.txt",to be added,,to be added,
430,"Brucite, x-ray",min_BR_x-ray,BRxray,minBR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_brucite_peak_class.txt",to be added,,to be added,
431,"Calcite, x-ray",min_CA_x-ray,CAxray,minCA,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_calcite_peak_class.txt",to be added,,to be added,
432,"Chlorite, x-ray",min_CL_x-ray,CLxray,minCL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_chlorite_peak_class.txt",to be added,,to be added,
433,"Chlorite-Mica, x-ray",min_CM_x-ray,CMxray,minCM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_chlorite-mica_peak_class.txt",to be added,,to be added,
434,"Cristobalite, x-ray",min_CR_x-ray,CRxray,minCR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_cristobalite_peak_class.txt",to be added,,to be added,
435,"Dolomite, x-ray",min_DL_x-ray,DLxray,minDL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_dolomite_peak_class.txt",to be added,,to be added,
436,"Enstatite, x-ray",min_EN_x-ray,ENxray,minEN,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_enstatite_peak_class.txt",to be added,,to be added,
437,"Feldspar, x-ray",min_FD_x-ray,FDxray,minFD,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_feldspar_peak_class.txt",to be added,,to be added,
438,"Gibbsite, x-ray",min_GI_x-ray,GIxray,minGI,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_gibbsite_peak_class.txt",to be added,,to be added,
439,"Glauconite, x-ray",min_GL_x-ray,GLxray,minGL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_glauconite_peak_class.txt",to be added,,to be added,
440,"Goethite, x-ray",min_GE_x-ray,GExray,minGE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_goethite_peak_class.txt",to be added,,to be added,
441,"Gypsum, x-ray",min_GY_x-ray,GYxray,minGY,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_gypsum_peak_class.txt",to be added,,to be added,
442,"Halloysite, x-ray",min_KH_x-ray,KHxray,minKH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_halloysite_peak_class.txt",to be added,,to be added,
443,"Hematite, x-ray",min_HE_x-ray,HExray,minHE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_hematite_peak_class.txt",to be added,,to be added,
444,"Hornblende, x-ray",min_HN_x-ray,HNxray,minHN,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_hornblende_peak_class.txt",to be added,,to be added,
445,"Hydrobiotite, x-ray",min_HB_x-ray,HBxray,minHB,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_hydrobiotite_peak_class.txt",to be added,,to be added,
446,"Illite (Hydromuscovite), x-ray",min_IL_x-ray,ILxray,minIL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_illite_peak_class.txt",to be added,,to be added,
447,"Kaolinite, x-ray",min_KK_x-ray,KKxray,minKK,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_kaolinite_peak_class.txt",to be added,,to be added,
448,"Labradorite, x-ray",min_FL_x-ray,FLxray,minFL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_labradorite_peak_class.txt",to be added,,to be added,
449,"Lepidocrocite, x-ray",min_LE_x-ray,LExray,minLE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_lepidocrocite_peak_class.txt",to be added,,to be added,
450,"Maghemite, x-ray",min_MH_x-ray,MHxray,minMH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_maghemite_peak_class.txt",to be added,,to be added,
451,"Magnetite, x-ray",min_MG_x-ray,MGxray,minMG,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_magnetite_peak_class.txt",to be added,,to be added,
452,"Mica, x-ray",min_MI_x-ray,MIxray,minMI,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_mica_peak_class.txt",to be added,,to be added,
453,"Montmorillonite, x-ray",min_MT_x-ray,MTxray,minMT,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_montmorillonite_peak_class.txt",to be added,,to be added,
454,"Montmorillonite-Chlorite, x-ray",min_MC_x-ray,MCxray,minMC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_montmorillonite-chlorite_peak_class.txt",to be added,,to be added,
455,"Montmorillonite-Mica, x-ray",min_MM_x-ray,MMxray,minMM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_montmorillonite-mica_peak_class.txt",to be added,,to be added,
456,"Montmorillonite-Vermiculite, x-ray",min_MV_x-ray,MVxray,minMV,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_montmorillonite-vermiculite_peak_class.txt",to be added,,to be added,
457,"Muscovite, x-ray",min_MS_x-ray,MSxray,minMS,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_muscovite_peak_class.txt",to be added,,to be added,
458,"Non-Crystalline, x-ray",min_NX_x-ray,NXxray,minNX,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_non-crystalline_peak_class.txt",to be added,,to be added,
459,"Oligoclase, x-ray",min_FO_x-ray,FOxray,minFO,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_oligoclase_peak_class.txt",to be added,,to be added,
460,"Orthoclase, x-ray",min_FR_x-ray,FRxray,minFR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_orthoclase_peak_class.txt",to be added,,to be added,
461,"Palygorskite, x-ray",min_PG_x-ray,PGxray,minPG,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_palygorskite_peak_class.txt",to be added,,to be added,
462,"Phlogopite, x-ray",min_PL_x-ray,PLxray,minPL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_phlogopite_peak_class.txt",to be added,,to be added,
463,"Plagioclase Feldspar, x-ray",min_FP_x-ray,FPxray,minFP,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_plagioclase_feldspar_peak_class.txt",to be added,,to be added,
464,"Potassium Feldspar, x-ray",min_FK_x-ray,FKxray,minFK,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_potassium_feldspar_peak_class.txt",to be added,,to be added,
465,"Pyrophyllite, x-ray",min_PY_x-ray,PYxray,minPY,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_pyrophyllite_peak_class.txt",to be added,,to be added,
466,"Quartz, x-ray",min_QZ_x-ray,QZxray,minQZ,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_quartz_peak_class.txt",to be added,,to be added,
467,"Resistant Minerals, x-ray",min_RE_x-ray,RExray,minRE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_resistant_minerals_peak_class.txt",to be added,,to be added,
468,"Sepiolite, x-ray",min_SE_x-ray,SExray,minSE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_sepiolite_peak_class.txt",to be added,,to be added,
469,"Talc, x-ray",min_TA_x-ray,TAxray,minTA,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_talc_peak_class.txt",to be added,,to be added,
470,"Thenardite, x-ray",min_TH_x-ray,THxray,minTH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_thenardite_peak_class.txt",to be added,,to be added,
471,"Tridymite, x-ray",min_TD_x-ray,TDxray,minTD,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_tridymite_peak_class.txt",to be added,,to be added,
472,"Vermiculite, x-ray",min_VR_x-ray,VRxray,minVR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_vermiculite_peak_class.txt",to be added,,to be added,
473,"Vermiculite-Chlorite, x-ray",min_VC_x-ray,VCxray,minVC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_vermiculite-chlorite_peak_class.txt",to be added,,to be added,
474,"Vermiculite-Hydrobiotite, x-ray",min_VH_x-ray,VHxray,minVH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_vermiculite-hydrobiotite_peak_class.txt",to be added,,to be added,
475,"Vermiculite-Mica, x-ray",min_VM_x-ray,VMxray,minVM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_vermiculite-mica_peak_class.txt",to be added,,to be added,
476,"Zeolite, x-ray",min_ZE_x-ray,ZExray,minZE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_zeolite_peak_class.txt",to be added,,to be added,
477,"pH, 0.01M CaCl2, Histosol",ph_hist,pHHist,pHhist,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Histosol\ph,_organic,_cacl2.txt",To Be Added,,The pH in 0.01M CaCl2 of the organic material in the Histosol procedure.,
478,"Optical Density, Oxalate Extract",optd_ox,OptDen,OptDen,F,4.2,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_optical_density.txt",To Be Added,,Ammonium oxalate optical density is a measure of the light blocking capacity of the extract. It relates to the amount of noncrystalline materials dissolved by the solution.,
